Database,ExchangeGuid,ExchangeUserAccountControl,LinkedMasterAccount,SamAccountName,ServerLegacyDN,ServerName,Office,UserPrincipalName,Alias,OrganizationalUnit,PrimarySmtpAddress,Name,DistinguishedName,Guid
Dag2DB45,c70df991-4d3c-4040-a5ee-4905d74c026c,None,,demetrios.barbalios,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IN-DL ,demetrios.barbalios@a360labs.com,demetrios.barbalios,a360labs.net/a360labs-ServiceAccounts,demetrios.barbalios@a360labs.com,Demetrios Barbalios,"CN=Demetrios Barbalios,OU=a360labs-ServiceAccounts,DC=a360labs,DC=net",181d83f3-76bf-4471-8529-5d4eafb8d3c1
Dag2DB3,304d1160-88bb-44ab-a26f-61bf83eab683,AccountDisabled,NT AUTHORITY\SELF,SM_c01be006b3ed4b099,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-NY ,DiscoverySearchMailbox {D919BA05-46A6-415f-80AD-7E09334BB852}@a360labs.net,DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852},a360labs.net/Users,DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@a360labs.com,DiscoverySearchMailbox {D919BA05-46A6-415f-80AD-7E09334BB852},"CN=DiscoverySearchMailbox {D919BA05-46A6-415f-80AD-7E09334BB852},CN=Users,DC=a360labs,DC=net",6bfade9d-cf14-4e4b-9d2b-91c9ff5850bd
Dag2DB18,4febef9b-be2f-49a5-bae0-a7ac868c1dc0,AccountDisabled,NAEAST\Daniel.Cheng,daniel.cheng,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,HU-BU ,daniel.cheng@a360labs.com,DanielCheng,a360labs.net/a360labsUsers/cloud,DanielCheng@a360labs.com,Daniel Cheng,"CN=Daniel Cheng,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",99b6f9c0-8449-422c-8978-e1879b795329
Dag2DB44,64a9fd5a-317d-490f-b39c-74bb605e28bc,None,,a360-mbximper,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CO ,a360-mbximper@a360labs.com,a360-mbximper,a360labs.net/a360labs-ServiceAccounts,a360-mbximper@a360labs.com,a360-mbximper,"CN=a360-mbximper,OU=a360labs-ServiceAccounts,DC=a360labs,DC=net",97c44bbc-5cba-46bc-a088-f7089b01d010
Dag2DB2,246a41bc-599d-400d-8d65-efbecf61f143,AccountDisabled,EMEA\Claudette.Walker,Claudette.Walker,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CA ,Claudette.Walker@a360labs.com,ClaudetteWalker,a360labs.net/a360labsUsers/cloud,ClaudetteWalker@a360labs.com,Claudette Walker,"CN=Claudette Walker,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",2de2fa8d-7dda-42ab-a8b7-7afbd53a95e3
Dag2DB39,a42fc0bd-c3dc-4ccb-bfdd-cf1f35929b50,AccountDisabled,EMEA\Elma.Olsen,Elma.Olsen,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,GB-LND,Elma.Olsen@a360labs.com,ElmaOlsen,a360labs.net/a360labsUsers/cloud,ElmaOlsen@a360labs.com,Elma Olsen,"CN=Elma Olsen,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",ae464a9b-e89d-4b1d-ad03-7f1fd961c72b
Dag2DB1,54c63886-3721-4204-ac56-f2a333306f75,AccountDisabled,EMEA\Devin.Underwood,Devin.Underwood,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,GB-LND,Devin.Underwood@a360labs.com,DevinUnderwood,a360labs.net/a360labsUsers/cloud,DevinUnderwood@a360labs.com,Devin Underwood,"CN=Devin Underwood,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",a839755e-7629-4844-b3d3-a1f54829a989
Dag2DB73,b83c8da2-e781-4337-a962-4b1adb84ef10,AccountDisabled,EMEA\Maximo.Hendrix,Maximo.Hendrix,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX2,a360labsmbx2,HU-BU ,Maximo.Hendrix@a360labs.com,MaximoHendrix,a360labs.net/a360labsUsers/cloud,MaximoHendrix@a360labs.com,Maximo Hendrix,"CN=Maximo Hendrix,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",6854026d-fb36-4159-99fa-fd315a14e7cb
Dag2DB14,5342bb5f-34ab-4481-b15f-899b88cabe91,AccountDisabled,EMEA\Rodney.Lang,Rodney.Lang,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Rodney.Lang@a360labs.com,RodneyLang,a360labs.net/a360labsUsers/cloud,RodneyLang@a360labs.com,Rodney Lang,"CN=Rodney Lang,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",9f80a360-1b62-4070-a3b6-8c5937860236
Dag2DB19,03028270-701a-4425-9a89-c3262bc8fc72,AccountDisabled,EMEA\Sid.Mccoy,Sid.Mccoy,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-WY ,Sid.Mccoy@a360labs.com,SidMccoy,a360labs.net/a360labsUsers/cloud,SidMccoy@a360labs.com,Sid Mccoy,"CN=Sid Mccoy,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",d85e12fd-5b44-4347-af4b-7116ed365d1b
Dag2DB35,a4198573-0c50-4daf-a9fb-8f5bb5fd9653,AccountDisabled,NAEAST\Santiago.Armstrong,Santiago.Armstrong,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-WA ,Santiago.Armstrong@a360labs.com,SantiagoArmstrong,a360labs.net/a360labsUsers/cloud,SantiagoArmstrong@a360labs.com,Santiago Armstrong,"CN=Santiago Armstrong,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",941bd863-dc27-4ffc-99f5-aa890b41d47c
Dag2DB26,17f093a1-5645-4fd6-b886-3de006edb847,AccountDisabled,NAEAST\Roderick.Morton,Roderick.Morton,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-CA ,Roderick.Morton@a360labs.com,RoderickMorton,a360labs.net/a360labsUsers/cloud,RoderickMorton@a360labs.com,Roderick Morton,"CN=Roderick Morton,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",08327453-c924-4784-9fa9-a1311d45fd07
Dag2DB44,81858f30-54e3-4146-b86c-884d88cfca40,AccountDisabled,EMEA\Gregg.Grant,Gregg.Grant,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Gregg.Grant@a360labs.com,GreggGrant,a360labs.net/a360labsUsers/cloud,GreggGrant@a360labs.com,Gregg Grant,"CN=Gregg Grant,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",ea5f30eb-bce4-46a1-a5d4-db5b5db5f582
Dag2DB28,17a6fad0-c4d8-407b-acb7-84c4cae2448d,AccountDisabled,NAEAST\Kim.Ayala,Kim.Ayala,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-NY ,Kim.Ayala@a360labs.com,KimAyala,a360labs.net/a360labsUsers/cloud,KimAyala@a360labs.com,Kim Ayala,"CN=Kim Ayala,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",f02994d7-573c-4cd4-b602-d7db2b0bac2b
Dag2DB43,636bc79a-5b4e-4963-8616-21568727fada,AccountDisabled,NAEAST\Graham.Noble,Graham.Noble,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Graham.Noble@a360labs.com,GrahamNoble,a360labs.net/a360labsUsers/cloud,GrahamNoble@a360labs.com,Graham Noble,"CN=Graham Noble,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",4afc929b-4e7c-44cc-908e-c636827b4a41
Dag2DB60,2b7b2d57-d408-46a7-a74a-8762a08ac91e,AccountDisabled,NAEAST\Nancy.Tyler,Nancy.Tyler,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX2,a360labsmbx2,US-GU ,Nancy.Tyler@a360labs.com,NancyTyler,a360labs.net/a360labsUsers/cloud,NancyTyler@a360labs.com,Nancy Tyler,"CN=Nancy Tyler,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",33a94fed-7dd7-42e1-85a7-39bd85301ace
Dag2DB26,12172abf-6ded-4697-9da5-60cc5a85faf6,AccountDisabled,EMEA\Gilberto.Keller,Gilberto.Keller,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,IN-DL ,Gilberto.Keller@a360labs.com,GilbertoKeller,a360labs.net/a360labsUsers/cloud,GilbertoKeller@a360labs.com,Gilberto Keller,"CN=Gilberto Keller,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",54d57d3c-47ec-4d09-bf66-7f853a3f72d4
Dag2DB4,63e9b92d-bee7-4864-a739-4e16bd9f0729,AccountDisabled,NAEAST\Ingrid.Bridges,Ingrid.Bridges,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,GB-LND,Ingrid.Bridges@a360labs.com,IngridBridges,a360labs.net/a360labsUsers/cloud,IngridBridges@a360labs.com,Ingrid Bridges,"CN=Ingrid Bridges,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",91142c86-d33a-466d-815d-2135cff47a83
Dag2DB20,3c69ed1b-9f86-4c16-9a63-335e553eb44d,AccountDisabled,EMEA\Garry.Santana,Garry.Santana,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-DC ,Garry.Santana@a360labs.com,GarrySantana,a360labs.net/a360labsUsers/cloud,GarrySantana@a360labs.com,Garry Santana,"CN=Garry Santana,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",95a203e4-d289-4dda-a633-6ff14a62020c
Dag2DB29,2d959cd3-acea-4d71-9877-ec3598d3a1e4,AccountDisabled,EMEA\Lazaro.Brandt,Lazaro.Brandt,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-NY ,Lazaro.Brandt@a360labs.com,LazaroBrandt,a360labs.net/a360labsUsers/cloud,LazaroBrandt@a360labs.com,Lazaro Brandt,"CN=Lazaro Brandt,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",2fa3be4d-6276-44d5-9bf7-01c98b56c2ad
Dag2DB42,afdef619-0207-4360-b642-d8154e7f12dc,AccountDisabled,NAEAST\Esperanza.Dodson,Esperanza.Dodson,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-WY ,Esperanza.Dodson@a360labs.com,EsperanzaDodson,a360labs.net/a360labsUsers/cloud,EsperanzaDodson@a360labs.com,Esperanza Dodson,"CN=Esperanza Dodson,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",74b29f63-b326-45e2-a7dc-dc3a4807aa9b
Dag2DB23,2e23b3aa-cdba-48ca-bbbb-8abb3dc107c3,AccountDisabled,EMEA\Young.Griffith,Young.Griffith,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,US-GU ,Young.Griffith@a360labs.com,YoungGriffith,a360labs.net/a360labsUsers/cloud,YoungGriffith@a360labs.com,Young Griffith,"CN=Young Griffith,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",54fc8d01-a049-4bdd-a892-417398067035
Dag2DB29,8497bc56-5cc6-4d19-bc11-66d89a9e9a4b,AccountDisabled,NAEAST\Rene.Hahn,Rene.Hahn,/o=a360labs/ou=Exchange Administrative Group (FYDIBOHF23SPDLT)/cn=Configuration/cn=Servers/cn=A360LABSMBX1,a360labsmbx1,HU-BU ,Rene.Hahn@a360labs.com,ReneHahn,a360labs.net/a360labsUsers/cloud,ReneHahn@a360labs.com,Rene Hahn,"CN=Rene Hahn,OU=cloud,OU=a360labsUsers,DC=a360labs,DC=net",6864d4f4-3909-41d4-8ef7-5ed88b11135c
